1770363975358209645,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975358311015,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975358410460,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975358527627,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975358729331,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975358894053,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975359015423,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011042175814509392, 'rotaion_y': -0.012188109569251537, 'rotaion_z': -1.4534025192260742, 'arm_state': False}
1770363975359296183,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011044884100556374, 'rotaion_y': -0.012186738662421703, 'rotaion_z': -1.4534116983413696, 'arm_state': False}
1770363975359539165,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011044884100556374, 'rotaion_y': -0.012186738662421703, 'rotaion_z': -1.4534116983413696, 'arm_state': False}
1770363975359666887,{'time_updated_GLOBAL_POSITION_INT': 239.401, 'latitude': 0.0, 'longitude': 0.0, 'altitude_rel_home': -0.955, 'velocity_x': 0.0, 'velocity_y': 0.0, 'velocity_z': 0.0, 'enable_homing_and_autonomy': False, 'mode': 'STABILIZE', 'heading': 276.73, 'rotaion_x': -0.011044884100556374, 'rotaion_y': -0.012186738662421703, 'rotaion_z': -1.4534116983413696, 'arm_state': False}
